,quadratAllTime,quadratIndYear,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
416,,THUBUGM2-05,,,,,,,,,,,,,,,1,1,1,1
417,,THUBUGM2-06,,,,,,,,,,,,,,,1,1,1,1
418,,THUBUGM2-07,,,,,,,,,,,,,,,1,1,1,1
419,,THUBUGM2-08,,,,,,,,,,,,,,,1,1,1,1
420,,THUBUGM2-09,,,,,,,,,,,,,,,1,1,1,1
421,,THUBUGM2-1,,,,,,1,1,1,1,1,1,1,1,1,,,,
422,,THUBUGM2-10,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
423,,THUBUGM2-2,,,,,,1,1,1,1,1,1,1,1,1,,,,
424,,THUBUGM2-3,,,,,,1,1,1,1,1,1,1,1,1,,,,
425,,THUBUGM2-4,,,,,,1,1,1,1,1,1,1,1,1,,,,
426,,THUBUGM2-5,,,,,,1,1,1,1,1,1,1,1,1,,,,
427,,THUBUGM2-6,,,,,,1,1,1,1,1,1,1,1,1,,,,
428,,THUBUGM2-7,,,,,,1,1,1,1,1,1,1,1,1,,,,
429,,THUBUGM2-8,,,,,,1,1,1,1,1,1,1,1,1,,,,
430,,THUBUGM2-9,,,,,,1,1,1,1,1,1,1,1,1,,,,
431,,THVC1-01,,,,,,,,,,,,,,,1,1,1,1
432,,THVC1-02,,,,,,,,,,,,,,,1,1,1,1
433,,THVC1-03,,,,,,,,,,,,,,,1,1,1,1
434,,THVC1-04,,,,,,,,,,,,,,,1,1,1,1
435,,THVC1-05,,,,,,,,,,,,,,,1,1,1,1
436,,THVC1-06,,,,,,,,,,,,,,,1,1,1,1
437,,THVC1-07,,,,,,,,,,,,,,,1,1,1,1
438,,THVC1-08,,,,,,,,,,,,,,,1,1,1,1
439,,THVC1-09,,,,,,,,,,,,,,,1,1,1,1
440,,THVC1-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
441,,THVC1-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1
442,,THVC1-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
443,,THVC1-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
444,,THVC1-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
445,,THVC1-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
446,,THVC1-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
447,,THVC1-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
448,,THVC1-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
449,,THVC1-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
450,,THVC2-1,,,,,1,,,,,,,,,,,,,
451,,THVC2-10,,,,,1,,,,,,,,,,,,,
452,,THVC2-2,,,,,1,,,,,,,,,,,,,
453,,THVC2-3,,,,,1,,,,,,,,,,,,,
454,,THVC2-4,,,,,1,,,,,,,,,,,,,
455,,THVC2-5,,,,,1,,,,,,,,,,,,,
456,,THVC2-6,,,,,1,,,,,,,,,,,,,
457,,THVC2-7,,,,,1,,,,,,,,,,,,,
458,,THVC2-8,,,,,1,,,,,,,,,,,,,
459,,THVC2-9,,,,,1,,,,,,,,,,,,,
460,,THVC3-1,,,,,1,1,1,1,1,1,1,1,1,1,,,,
461,,THVC3-10,,,,,1,1,1,1,1,1,1,1,1,1,,,,
462,,THVC3-2,,,,,1,1,1,1,1,1,1,1,1,1,,,,
463,,THVC3-3,,,,,1,1,1,1,1,1,1,1,1,1,,,,
464,,THVC3-4,,,,,1,1,1,1,1,1,1,1,1,1,,,,
465,,THVC3-5,,,,,1,1,1,1,1,1,1,1,1,1,,,,
466,,THVC3-6,,,,,1,1,1,1,1,1,1,1,1,1,,,,
467,,THVC3-7,,,,,1,1,1,1,1,1,1,1,1,1,,,,
468,,THVC3-8,,,,,1,1,1,1,1,1,1,1,1,1,,,,
469,,THVC3-9,,,,,1,1,1,1,1,1,1,1,1,1,,,,
470,,THVC4-1,,,,,1,1,1,1,1,1,1,1,1,,,,,
471,,THVC4-10,,,,,1,1,1,1,1,1,1,1,1,,,,,
472,,THVC4-2,,,,,1,1,1,1,1,1,1,1,1,,,,,
473,,THVC4-3,,,,,1,1,1,1,1,1,1,1,1,,,,,
474,,THVC4-4,,,,,1,1,1,1,1,1,1,1,1,,,,,
475,,THVC4-5,,,,,1,1,1,1,1,1,1,1,1,,,,,
476,,THVC4-6,,,,,1,1,1,1,1,1,1,1,1,,,,,
477,,THVC4-7,,,,,1,1,1,1,1,1,1,1,1,,,,,
478,,THVC4-8,,,,,1,1,1,1,1,1,1,1,1,,,,,
479,,THVC4-9,,,,,1,1,1,1,1,1,1,1,1,,,,,
480,,THVW1-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
481,,THVW1-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
482,,THVW1-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
483,,THVW1-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
484,,THVW1-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
485,,THVW1-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
486,,THVW1-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
487,,THVW1-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
488,,THVW1-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
489,,THVW1-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
490,,THW1-01,,,,,,,,,,,,,,,1,1,1,1
491,,THW1-02,,,,,,,,,,,,,,,1,1,1,1
492,,THW1-03,,,,,,,,,,,,,,,1,1,1,1
493,,THW1-04,,,,,,,,,,,,,,,1,1,1,1
494,,THW1-05,,,,,,,,,,,,,,,1,1,1,1
495,,THW1-06,,,,,,,,,,,,,,,1,1,1,1
496,,THW1-07,,,,,,,,,,,,,,,1,1,1,1
497,,THW1-08,,,,,,,,,,,,,,,1,1,1,1
498,,THW1-09,,,,,,,,,,,,,,,1,1,1,1
499,,THW1-1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,
500,,THW1-10,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
501,,THW1-2,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,
502,,THW1-3,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,
503,,THW1-4,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,
504,,THW1-5,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,
505,,THW1-6,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,
506,,THW1-7,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,
507,,THW1-8,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,
508,,THW1-9,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,
